"","iso2c","value","escalado","year"
"125","4E",1071.1351241709,-0.199613990719754,1999
"126","4E",1140.13150081002,-0.119922007230039,2000
"127","4E",1205.15078451637,-0.0448236334307727,2001
"128","4E",1288.59039093382,0.0515505250527555,2002
"129","4E",1389.72280079718,0.168360171148525,2003
"130","4E",1501.76009028607,0.297765137888746,2004
"131","4E",1634.45866566908,0.45103423974091,2005
"132","4E",1797.30920160896,0.639129366667531,2006
"133","4E",2002.37407091887,0.87598276354722,2007
"134","4E",2155.82919191293,1.05322602709763,2008
"135","4E",2302.64548726089,1.22280133459656,2009
"136","4E",2511.58900900474,1.46413464072343,2010
"137","4E",2704.94402449693,1.68746295813425,2011
"138","4E",2885.8835123419,1.89645113085234,2012
"139","4E",3070.32220284645,2.10948094190215,2013
"140","4E",3253.86625690677,2.32147743270797,2014
"141","XC",20281.0152690126,-1.58696210176087,1980
"142","XC",20308.6050093159,-1.58101699123759,1981
"143","XC",20400.623948354,-1.56118850583676,1982
"144","XC",20643.075829222,-1.50894433055667,1983
"145","XC",21098.0412349221,-1.41090717647614,1984
"146","XC",21543.5049836076,-1.31491746468701,1985
"147","XC",22026.971313721,-1.21073885571092,1986
"148","XC",22522.8126047189,-1.10389365729358,1987
"149","XC",23411.9241199444,-0.912305546371583,1988
"150","XC",24264.9111183896,-0.728501642277851,1989
"151","XC",25020.0182889393,-0.565789143483388,1990
"152","XC",25595.0415426061,-0.441881605430299,1991
"153","XC",25844.0129824128,-0.388232578273117,1992
"154","XC",25576.0239904479,-0.445979558082983,1993
"155","XC",26139.9814998149,-0.324456496003987,1994
"156","XC",26723.8804928453,-0.198636390057459,1995
"157","XC",27123.6581813293,-0.112491231869976,1996
"158","XC",27801.1691788254,0.033500637447153,1997
"159","XC",28568.6363475102,0.198876501469883,1998
"160","XC",29345.2050805782,0.366213594761102,1999
"161","XC",30366.3714911301,0.58625724528678,2000
"162","XC",30879.196847456,0.696762215213372,2001
"163","XC",31029.0646340983,0.729056123951666,2002
"164","XC",31078.476244266,0.739703468955676,2003
"165","XC",31611.2694191696,0.854511157467083,2004
"166","XC",31982.1506224628,0.934429624272003,2005
"167","XC",32867.0614823278,1.12511256681931,2006
"168","XC",33696.1563102881,1.30376812255557,2007
"169","XC",33692.4080964474,1.30296044748132,2008
"170","XC",32058.0192601995,0.950777999850643,2009
"171","XC",32653.4710776302,1.07908753908508,2010
"172","XC",33107.4938408678,1.17692157006399,2011
"173","XC",32900.9561545129,1.13241628081139,2012
"174","XC",32554.9249222856,1.05785255177721,2013
"175","XC",32883.4111105738,1.12863562814097,2014
"176","Z7",12191.798528999,-1.42174494012491,1980
"177","Z7",12165.8461598032,-1.43071306965534,1981
"178","Z7",12212.068808396,-1.41474031985774,1982
"179","Z7",12378.8631036463,-1.35710269789519,1983
"180","Z7",12629.4325763371,-1.2705156325484,1984
"181","Z7",12889.1438649503,-1.18076951113561,1985
"182","Z7",13164.4226996914,-1.08564385118849,1986
"183","Z7",13489.3520754672,-0.973360895123422,1987
"184","Z7",13976.5338889738,-0.805009806425901,1988
"185","Z7",14384.9759515003,-0.663868113550976,1989
"186","Z7",14665.2074699309,-0.567030998726057,1990
"187","Z7",14710.4256635465,-0.551405349506254,1991
"188","Z7",14635.2587185994,-0.57738012250697,1992
"189","Z7",14503.3892154423,-0.622949094514991,1993
"190","Z7",14698.6658757833,-0.555469074829941,1994
"191","Z7",15059.3127187532,-0.430843551121872,1995
"192","Z7",15323.7890703959,-0.339450809234979,1996
"193","Z7",15743.3757665921,-0.194457964368307,1997
"194","Z7",16145.2099620729,-0.0555996933705351,1998
"195","Z7",16589.9642715094,0.098090099886772,1999
"196","Z7",17265.8128662154,0.331637091090095,2000
"197","Z7",17613.8408359146,0.451902022932126,2001
"198","Z7",17866.4333704764,0.53918817978652,2002
